german,translation
eine angenehme Dehnung spüren,почувствовать приятное растяжение
etwas in einen Bereich atmen,дышать во что-либо/в какую-либо область
Muskeln und Gelenke lockern,расслабить мышцы и суставы
den Körper / ein Körperteil ausschütteln,встряхнуть тело / часть тела
Beugen Sie den Oberkörper nach vorn.,Согните корпус вперед.
Kreisen Sie die Schultern.,Вращайте плечами.
Neigen Sie den Kopf zur Seite.,Наклоните голову в сторону.
Schütteln Sie den ganzen Körper aus.,Встряхните все тело.
Legen Sie die Handflächen aufeinander.,Сложите ладони вместе.
Verschränken Sie die Hände hinter dem Rücken.,Сцепите руки за спиной.
Die Leistungsfähigkeit,работоспособность
Anregen A,"стимулировать, способствовать"
Hüpfen (te; t),прыгать
Ins Bett hüpfen,"прыгать в постель, переспать"
Die Beweglichkeit,подвижность
Die Gleichgewicht (e),"баланс, равновесие"
Der Stoffwechsel,"метаболизм, обмен веществ"
Bewirken (te; t),"сделать, изменить, повлиять"
"Zur Folge haben, dass","иметь в результате, что"
Folgendermaßen,"таким образом, следующим образом"
angewiesen auf (Akk.),"зависящий от чего-либо, нуждающийся в чём-либо"
Viele ältere Menschen sind auf die Hilfe ihrer Angehörigen angewiesen.,Многие пожилые
aufgeschlossen gegenüber (Dat.),"открытый, восприимчивый по отношению к"
чему,либо/кому-либо
Unser Team ist neuen Arbeitsmethoden gegenüber sehr aufgeschlossen.,Наша команда
beteiligt an (Dat.),"участвующий, причастный к чему-либо"
Sie war maßgeblich an der Entwicklung des Projekts beteiligt.,Она принимала активное
gespannt auf (Akk.),"заинтересованный, в предвкушении, с нетерпением ожидающий"
чего,либо
Ich bin schon sehr gespannt auf die Ergebnisse der Studie.,Я с большим нетерпением
zuständig für (Akk.),ответственный за что-либо
Wer ist in Ihrer Abteilung zuständig für die Öffentlichkeitsarbeit?,Кто в вашем отделе
Das Abschlusszeignis,"аттестат, диплом"
Das Umfeld,"среда, обстановка"
Missfallen (ie; a),не одобрять
Das Missfallen,неодобрение
Ratlos sein,быть в тупике (фигурально)
Ausgeschlossen = unmöglich,"невозможно, исключено (исключённый)"
Wobei = obwohl,"несмотря на то, что"
Mittelmäßig,посредственный
In wirtschaftlicher Hinsicht,"с точки зрения экономики, в аспекте экономики, в"
für etwas aufkommen (ist aufgekommen) = bezahlen,"оплачивать, нести расходы за"
что,либо
Die Firma kommt für alle Weiterbildungskosten auf.,Компания оплачивает все расходы
"sich auftun (Dat.) (tut auf, tat auf, hat sich aufgetan) = sich erheben","открываться,"
Nach dem Abschluss taten sich ihm neue Perspektiven auf.,После окончания учёбы
nichtsdestotrotz,"тем не менее, несмотря на это"
"Es gab einige Schwierigkeiten, nichtsdestotrotz wurde das Projekt ein Erfolg.",Были
oftmals,"зачастую, часто (более формально, чем ""oft"")"
Dieses Phänomen wird oftmals unterschätzt.,Это явление зачастую недооценивается.
jemandem etwas gönnen,"желать кому-либо чего-то хорошего, не завидовать"
"Ich gönne ihm den Erfolg von Herzen, er hat hart dafür gearbeitet.",Я от всей души желаю
eingeschränkt,ограниченный
Aufgrund der Verletzung ist seine Bewegungsfähigkeit eingeschränkt.,Из-за травмы его
Erfüllen mit D,наполнять чем-то
"sich einschreiben an (Dat.) (schrieb ein, hat eingeschrieben)","записываться, поступать (в"
Sie hat sich an der Technischen Universität eingeschrieben.,Она поступила в
die Spannung (en),"1) напряжение (электрическое); 2) напряжённость, накал; 3)"
Beispiel 2: Die politische Spannung in der Region nahm zu.,Политическая
Sich entfremden von D,отдаляться от
Ungeachtet G,несмотря на
nicht im Geringsten / keineswegs,"ни в малейшей степени, нисколько"
Seine Kritik hat mich nicht im Geringsten überrascht.,Его критика нисколько меня не
sich antrainieren,"вырабатывать, натренировать (навык, привычку)"
Sie hat sich eine positive Einstellung antrainiert.,Она выработала у себя позитивный
abgesehen von / außer,"не считая, кроме, помимо"
Abgesehen von kleinen Startschwierigkeiten lief alles nach Plan.,Не считая небольших
"durchfallen (fällt durch, fiel durch, ist durchgefallen)","провалиться (на экзамене), не"
Leider ist er in der mündlichen Prüfung durchgefallen.,"К сожалению, он провалился на"
"einbinden (bindet ein, band ein, hat eingebunden)","вовлекать, интегрировать"
"Es ist wichtig, alle Teammitglieder in den Entscheidungsprozess einzubinden.",Важно
"die Verteilung, (en)",распределение
Die Verteilung der Ressourcen muss gerecht sein.,Распределение ресурсов должно
"das Diagramm, (e)","диаграмма, график"
Die Daten werden in einem Diagramm veranschaulicht.,Данные наглядно представлены
"das Liniendiagramm, (e)",линейная диаграмма
Die Entwicklung über die Zeit zeigt man am besten in einem Liniendiagramm.,Развитие во
"das Tortendiagramm, (e)",круговая диаграмма
Die Marktanteile sind in einem Tortendiagramm dargestellt.,Доли рынка представлены на
prozentual,"процентный, в процентах"
"Die prozentuale Veränderung beträgt +5,3%.",Процентное изменение составляет
"erheben (erhebt, erhob, hat erhoben)","1) проводить (опрос); 2) собирать (данные,"
Das Institut hat eine repräsentative Umfrage erhoben.,Институт провёл
etwas in der Tasche haben,"иметь что-то ""в кармане"", быть уверенным в чём-то"
für ein Thema brennen,гореть (быть увлечённым) какой-либо темой
Sie brennt für den Umweltschutz und engagiert sich ehrenamtlich.,Она горит защитой
sich richten an (Akk.),"предназначаться, адресоваться кому-либо"
Diese Schulung richtet sich an Führungskräfte.,Этот тренинг предназначен для
im Mittelpunkt stehen,"находиться в центре (внимания), быть главным"
Bei der Produktentwicklung steht die Nachhaltigkeit im Mittelpunkt.,При разработке
Möglichkeiten schaffen,создавать возможности
Familien.,Эта стипендия создаёт возможности для талантливых студентов из
schonen,"беречь, щадить"
Die neue Technologie schont die natürlichen Ressourcen.,Новая технология бережёт
"die Emission,","en – выброс (газов, загрязняющих веществ)"
Das Ziel ist die Reduzierung der CO2,Emissionen um 50%. – Цель: сокращение выбросов
sicherstellen,"обеспечивать, гарантировать"
Der Hersteller muss die hohe Qualität der Materialien sicherstellen.,Производитель
im Zentrum stehen,"находиться в центре (часто синоним ""im Mittelpunkt stehen"")"
Im Zentrum der Diskussion stand die Frage der Finanzierung.,В центре обсуждения
wirtschaftlich,"экономичный, рентабельный, хозяйственный"
Die Investition hat sich als sehr wirtschaftlich erwiesen.,Инвестиция оказалась очень
effizient,"эффективный, результативный"
Durch bessere Planung arbeiten wir jetzt viel effizienter.,Благодаря лучшему
einen Gewinn erzielen,получать прибыль
Das Unternehmen konnte im letzten Quartal einen Rekordgewinn erzielen.,Компания
"die Innovation,","en – инновация, нововведение"
Ständige Innovation ist für den Markterfolg entscheidend.,Постоянные инновации
hochwertig,высококачественный
Wir verwenden nur hochwertige und langlebige Materialien.,Мы используем только
nachwachsend,возобновляемый (о ресурсах)
Der Betrieb setzt vollständig auf nachwachsende Rohstoffe.,Предприятие полностью
investieren in (Akk.),инвестировать во что-либо
Sie hat viel Zeit in die Weiterbildung investiert.,Она вложила много времени в
"das Verfahren,","процесс, метод, производственный способ"
in erster Linie,в первую очередь
In erster Linie sind wir für die Sicherheit der Mitarbeiter verantwortlich.,В первую очередь
"die Zuständigkeit, (en)","компетенция, круг обязанностей"
"Das fällt nicht in meine Zuständigkeit, bitte wenden Sie sich an die Kollegin.",Это не
"das Anforderungsprofil, (e)",профиль требований (к должности)
Ihre Erfahrungen passen perfekt auf das Anforderungsprofil der Stelle.,Ваш опыт
"die Geschäftsführung, (en)","руководство компании, дирекция"
Die Geschäftsführung hat die Entscheidung bekannt gegeben.,Руководство компании
"die Belegschaft, (en)","персонал, коллектив (сотрудников компании)"
Die gesamte Belegschaft wurde zur Versammlung eingeladen.,Весь персонал был
Ergebnisse auswerten,"оценивать, анализировать результаты"
Die Daten der Studie werden aktuell ausgewertet.,Данные исследования в настоящее
"die Personalabteilung, (en)",отдел кадров
Ihren Urlaubsantrag reichen Sie bitte bei der Personalabteilung ein.,"Заявление на отпуск,"
in die Praxis umsetzen,реализовывать на практике
Die theoretischen Konzepte müssen nun in die Praxis umgesetzt werden.,Теоретические
erzeugen,"производить, генерировать"
"Die Solaranlage auf dem Dach erzeugt mehr Strom, als wir verbrauchen.",Солнечная
überwiegend,"преимущественно, в основном"
Die Rückmeldungen waren überwiegend positiv.,Отзывы были преимущественно
"der Inhaltsstoff, (e)","ингредиент, составляющее вещество"
Das Produkt kommt ohne künstliche Inhaltsstoffe aus.,Этот продукт обходится без
pflanzliche Rohstoffe,растительное сырьё
"Die Verpackung besteht aus nachwachsenden, pflanzlichen Rohstoffen.",Упаковка
tierische Rohstoffe,сырьё животного происхождения
Die Gerberei verarbeitet tierische Rohstoffe wie Leder.,Кожевенный завод
abbaubar,"разлагаемый, биоразлагаемый"
Wir verwenden nur vollständig biologisch abbaubare Verpackungsmaterialien.,Мы
"die Senkung, (en)","снижение, понижение"
Eine Senkung des Energieverbrauchs ist dringend notwendig.,Снижение потребления
verunreinigen,загрязнять
Das Abwasser verunreinigt den Fluss.,Сточные воды загрязняют реку.
recycelbar,"пригодный для переработки, рециклируемый"
Das neue Material ist zu 100% recycelbar.,Новый материал на 100% пригоден для
"die Ausstattung, (en)","оснащение, оборудование; комплектация"
Die Ausstattung der neuen Produktionshalle ist hochmodern.,Оснащение нового
etlich,"несколько, немало, изрядное количество (часто во мн.ч. ""etliche"")"
Bis zur Lösung des Problems werden noch etliche Gespräche nötig sein.,До решения
aufwendig,"затратный, трудоёмкий, роскошный"
Die Restaurierung des Denkmals war sehr aufwendig.,Реставрация памятника была
vielversprechend,многообещающий
Die ersten Testergebnisse sind vielversprechend.,Первые результаты испытаний
"die Überlastung, (en)",перегрузка
Die ständige Überlastung der Mitarbeiter führt zu mehr Krankmeldungen.,Постоянная
Alles im grünen Bereich bei dir? = alles in Ordnung?,всё в порядке? Всё идёт по плану
Zögern (te; t),"медлить, не решаться, сомневаться"
Ich habe allerdings Angst,и тем не менее (однако) я боюсь
Auch wenn = Dennoch,"всё же, тем не менее"
Für A von zentraler Bedeutung sein,иметь главное значение (первостепенную
важность) для чего,то
"Wenn sich jmd für A entscheidet, dürfte es vor allem daran liegen, dass",когда кто-то
решает сделать что,"то, это в первую очередь для/ввиду того, что…"
"Was für diese Entscheidung meines Erachtens ausschlaggebend ist, ist …",самое
Es blieb weiterhin / immer noch beliebt,оно по-прежнему оставалось популярным
Ich kann mich Zeit lassen = Ich muss mich nicht beeilen,могу не спешить
Meine Eltern haben mir Türen geöffnet = haben mir viel ermöglicht,дали много
Einen Weg einschlagen = eine bestimmte Richtung nehmen,встать на определённый
Hindernisse aus dem Weg räumen = Schwierigkeiten beseitigen,устранить препятствия
An eine gläserne Decke stoßen,"наткнуться, упереться в “стеклянный потолок”"
Ich komme mit zwei Wochen aus (auskommen),"я управляюсь за две недели, мне"
Das kommt mir sehr wenig vor (vorkommen),трудно могу себе это представить (мне
Das ist falsch rübergekommen,"это произвело неправильное впечатление, неправильно"
Hier kommt die Zeit für … hinzu (hinzukommen),Тут к тому же добавляется время для …
Es kommt auf das Thema an (ankommen),это зависит от темы
Kommt dann eine schlechtere Note heraus (herauskommen),тогда выходит/получается в
Das ist bei mir auch schon mal vorgekommen,со мной один раз такое
"Wenn du gar nicht klarkommst, …","если ты совсем не справляешься, .."
Manche kommen dir dann entgegen (entgegenkommen),некоторые тогда идут навстречу
"Wenn ich koche, fällt immer viel Abwasch an (anfallen)","когда я готовлю, возникает много"
Ich wurde von einem Hund angefallen,на меня набросилась собака
Mir sind die Augen vor Müdigkeit zufallen,у меня глаза слиплись (захлопнулись) от
Mir fiel die Aufgabe der Projektleitung zu (zufallen),мне досталось задание проджекта
Mir ist seine Name entfallen,его имя вылетело из моей головы
Der Kurs entfällt heute wegen Krankheit der Dozentin,курс сегодня выпадает (отменён)
из,за болезни профессора
wichtige Termine,"каждый коллега получает (на каждого приходится, выпадает) на 300"
Die Vergütigung,"гонорар, жалование, вознаграждение, компенсация"
Die Wahrnehmung,восприятие
Die Auswirkung auf A,"влияние на, воздействие на"
Die Erwartung an A,ожидание от
Das Mittel für/gegen A,средство для/от
Die Lust auf A,"настроение для, желание заняться чем-то"
Der Mangel an D,нехватка
Der Stutz gegen D / vor D,защита от
Der Umgang mit D,способ обходиться с чем-то
Der Zugang zu D,доступ к
an,"когда о чём-то думаю, то представляю"
Der Geruch,запах
Die Bedrohung,"угроза, опасность"
Der Bestand,"состав, популяция, инвентарь"
Bestand haben,"существовать какое-то время, продерживаться, иметь возможность"
Ausbrechen (a; o),"сбегать, разражаться, извергаться (вулкан)"
Umwandeln (te; t),"преобразовываться, конвертироваться"
Die Sonne strahlt (te;t),солнце сияет
Die geputzte Fenster glänzen (te; t),"мытые окна сияют, сверкают"
Die Lampe leuchtet (te;t),лампа светится
Die Kerze flackert (te;t),свеча горит
Die Sterne funkeln (te;t),звёзды мерцают
Die Eignung für A,"пригодность, склонность, готовность к"
Er ist weitgehend bekannt,"он в значительной степени, по большей части, в основном"
Die Herdplatte,плита кухонная
Der Wasserhahn,кран
Sich verirren (te; t),заблудиться
Umgangssprachlich,"в разговорном языке, в обиходе"
Die Lichtverhältnisse,"освещение, условия света"
Die Sonne geht auf und geht unter,солнце встаёт и заходит
Einschlagen in D (u;a),"разбить, проломить, ударить в"
Sich zunutze machen / ich muss es mich zunutze machen,я должен это использовать
Ausströmen (te; t) / Der Geruch strömt aus,"вытекать, источаться / аромат источаeтся"
Kostbar,"драгоценный, дорогой"
"Der Reichtum (ü, er) / Der Wohlstand","богатсво, процветание, благосостояние /"
Leistungsstark,"мощный, высокопроизводительный"
Kostengünstig,"малозатратный, дешёвый"
Der Wettstreit,"противостояние, борьба, конкуренция"
Vereinfachen (te; t),упрощать
Der Stromverbrauch,использование электричества
Schwamm drüber / Halb so wild,"забей, проехали / могло быть хуже"
Die Angelegenheit bereinigen = etwas wiedergutmachen,уладить проблему
Etwas verschulden / Ich habe etwas verschuldet = an etwas Schuld haben,провиниться в
чём,то
Jemandem unterläuft ein Fehler = jemandem passiert ein Versehen oder Irrtum,с кем-то
Für etwas geradestehen = für etwas die Verantwortung übernehmen,держать ответ за
что,то
Sein Bedauern ausdrücken,выражать сожаление
"Die Reue zeigen / empfinden = deutlich machen, dass man etwas bereut",показывать
Aus Versehen = versehentlich,"случайно, по недосмотру"
Mir ist folgendes Missgeschick unterlaufen,со мной приключилась вот такая
Ich was unaufmerksam / abgelenkt / erschöpft,я был невнимателен / отвлёкся / вымотан
Ich bin ausgerutscht / gestolpert / gestürzt,"я поскользнулся, споткнулся / наткнулся /"
Scheitern (te; sein + t),"терпеть неудачу, провалиться"
Die Panne,"неполадка, сбой, неприятность, авария"
Der Fehler kann sich in A einschleichen (ie; i),ошибка может проскользнуть
Verschütten (te; t),проливать
Das Gratulieren nachholen,компенсировать поздравления (если забыли)
Erniedrigend,унизительный
Gnadenlos,"беспощадный, безжалостный"
Letztlich,"в конечном счёте, в конце концов, по большому счёту"
Mangelnd,"недостаточный, недостающий"
Ratsam,целесообразный
Schewiegend,"серьёзный, тяжёлый (переносный смысл)"
Zwischenmenschlich,межличностный
Die Selbstreflexion = wenn man über eigene Person nachdenkt,саморефлексия
перетерпеть),умение держаться в конфликте
"Der Lichtblick = eine Aussicht (перспектива, шанс), auf die man sich freut","луч надежды,"
(сопротивление) anderen erreicht,способность настоять на своём
"schlechter hält als andere, leidet unter …",чувство неполноценности
haben,признание вины
Anklagen (te; t),обвинять
Die Versöhnung / Die Wiedervereinigung,"примирение, перемирие, воссоединение /"
Die Ausrede,"отговорка, оправдание, отмазка"
Die äußere Umstände,внешние обстоятельства
Der Verlust ausgleichen (i; i),компенсировать потерю
Erwähnenswert = nennenswert = bemerkenswert,достойно упоминания
Meine Reaktion war überzogen / übertrieben / übermäßig,"моя реакция была чрезмерная,"
Es ist angemessen,"это уместно, должным образом"
Aufrichtig entschuldigen,сразу же извиниться
Wir erweisen (ie; ie) dir Respekt,"мы выказываем, проявляем к тебе уважение"
Das Miteinander,"гармоничные, добрые отношения между людьми в обществе"
Das Gegenüber,собеседник/противоположность
Der Mitmensch,"ближний, собрат, любой человек как часть человеческого общества"
Die Floskel (Höflichkeitsfloskel),"шаблон, избитая фраза, клише, пустые слова"
Zurückweisen,"отвергать, отклонять, отказывать"
Zeugen von D / Zeichen für/von,свидетельствовать о
Akk Positiv stimmen (te; t),настраивать на хороший лад
Frauen (deutlich unterrepräsentiert) / (viel zu wenig vertreten) sind,женщина
Erheblich benachteiligt / sehr ungerecht behandelt sein,быть поставленным в
Gefährden (te; t),"подвергать опасности, риску"
Weit verbreitet = üblich,"распространённый, общепринятый"
Bestens geeignet,лучше всего подходящий
Sichtlich erleichtert,"с заметным, существенным облегчением"
Tief erschüttert,"глубоко расстроен, потрясён"
Zutiefst enttäuscht,глубочайше разочарован
Der Wendepunkt seines Lebens,поворотная точка его жизни
Spürbar,ощутимый
Der Zusammenbruch,"крах, распад, коллапс, нервный срыв"
Der Wandel,"перемена, изменение, трансформация"
Die Wendezeit,время перемен
Die Wende,"поворот, перелом"
Die Grundrechte einschränken (te; t),ограничивать базовые права человека
Der Lebensstandard,стандарт жизни
Frisch verliebt,"только что влюблённые, как бы пылко влюблённые"
Berichten (te; t),рассказывать
Bis dahin,до того момента
Der Verbündete,союзник
Der Stacheldraht,колючая проволока
Abriegeln (te; t),"блокировать, закрывать, изолировать"
Die Lebensgefahr,"угроза жизни, смертельная опасность"
Die Auswanderung,"эмиграция, переселение"
Andauernd,"постоянно, беспрерывно, всё время"
Die Bezeichnung,"наименование, обозначение"
Der Gesetz verabschieden (te; t),принимать закон
Verkünden (te; t),"провозглашать, оглашать, объявлять"
Die Grenze zu D,граница чего-то
Die Mauer einreißen (i; i),"снести стену, сравнять с землёй"
Im Hinblick auf A,"с точки зрения чего-то, в свете чего-то"
Wohnhaft in D,проживающий в
Die Debatte über,дебаты об
Schicksalhaft,роковой
Vollziehen (o;o) / eine Wendung vollziehen,"осуществить, провести / осуществить"
Etwas auf den Kopf stellen,перевернуть с ног на голову
Grundlegend,"радикально, коренным образом, фундаментально"
Die Perspektiven berücksichtigen / im Blick haben,"принимать во внимание, учитывать"
Einbeziehen (o;o) = integrieren (te; t),"подключать, интегрировать"
Auf A aufmerksam machen = für A sensibilisieren,"осведомлять об, подсвечивать что-то"
Identifizieren (te; t) = erkennen (a; a),"узнавать, понимать, идентифицировать"
Infolge / infolgedessen / weshalb / weswegen / demzufolge / folglich,"вследствие чего, в"
Das Bedürfnis / Die Nachfrage,"потребность, спрос"
Das Fazit,"вывод, заключение, итог"
Die Herstellung,"производство, изготовление"
"Die Teilhabe an D, am Familienleben","участие в, участие в семейной жизни"
Beträchtlich = erheblich,"значительный, существенный"
Der Scheibenwischer,"стеклоочиститель, дворник на машине"
Die Sichtbarkeit,видимость
Armlehne und Rückenlehnen,подлокотник и спинки сидений
Die Schwachstelle,"слабое место, уязвимость,"
Die Errungenschaft,достижение
Hintereinander = nacheinander,"подряд, два дня подряд"
Akk Vernachlässigen (te; t),"пренебрегать чем-то, игнорировать что-то"
Anhang + G,"впридачу к, вдобавок к"
Beschleunigen (te; t),"ускорять, активизировать, форсировать"
Vorhanden sein / vorhandene Daten,"быть в наличии, иметься / существующие,"
Zugeschnitten auf = angepasst an,"адаптирован к, приспособлен для"
Im Einsatz sein,"постоянно использоваться, быть в ходу"
Die Unterzahl / Überzahl,"меньшинство, большинство"
Dementsprechend,"следовательно, соответствующим образом"
Stets,"неизменно, постоянно, всегда"
